model,dataset,macro_f1,micro_f1
Opir-edge,aegis_categories,0.1115163247398994,0.12521615749567686
Opir-edge,aegis_prompt_safety,0.8819221604281877,0.8828920570264766
Opir-edge,aegis_response_safety,0.7915842671940233,0.7933579335793358
Opir-edge,beavertails,0.018001265496828046,0.05522567625257112
Opir-edge,gliclass_jailbreaking_classification,0.06459930827350709,0.09394145677331518
Opir-edge,gliclass_safe_unsafe_classification,0.9246053913644657,0.9289363896310879
Opir-edge,gliclass_toxicity_classification,0.0974911438810503,0.15609756097560976
Opir-edge,gliclass_unsafe_categorization,0.022918244399519117,0.04384535624351948
Opir-edge,harmbench_prompts,0.24397486913173197,0.2772727272727273
Opir-edge,harmbench_responses,0.23312313506644045,0.27507163323782235
Opir-edge,oai,0.2339666090119835,0.25255536626916525
Opir-edge,oai_safety,0.5986177565124934,0.6503311258278146
Opir-edge,polyguard_prompt_safety,0.5161812044573831,0.609616368286445
Opir-edge,polyguard_prompt_subcategory,0.050106054535354945,0.055925405368345275
Opir-edge,polyguard_response_refusal,0.48678179741144545,0.6002127728166607
Opir-edge,polyguard_response_safety,0.5515857633626764,0.8155095859291639
Opir-edge,saferlhf,0.18168812057777045,0.1875784654013736
Opir-edge,saferlhf_response_safety,0.8270375531437363,0.8301967233083622
Opir-edge,simplesafetytests,0.2635752298016449,0.3468208092485549
Opir-edge,simplest,0.2705759818503447,0.3235294117647059
Opir-edge,wildguard_prompt_safety,0.8987405587482156,0.899941141848146
Opir-edge,wildguard_prompt_subcategory,0.10482359457089503,0.11585899578260524
Opir-edge,wildguard_response_refusal,0.3718048551046539,0.46403851941017155
Opir-edge,wildguard_response_safety,0.8605732622647666,0.9157401989467525
Opir-edge,xstest,0.7547368003805296,0.7555555555555555
Opir-edge-multilang,aegis_categories,0.11808039308962116,0.1507858006374327
Opir-edge-multilang,aegis_prompt_safety,0.9275660738031914,0.9276985743380856
Opir-edge-multilang,aegis_response_safety,0.8505571464379846,0.8511685116851169
Opir-edge-multilang,beavertails,0.1140861000656416,0.19338021807858571
Opir-edge-multilang,gliclass_jailbreaking_classification,0.06510563597991463,0.06683168316831684
Opir-edge-multilang,gliclass_safe_unsafe_classification,0.9700723665164528,0.9714058032156753
Opir-edge-multilang,gliclass_toxicity_classification,0.19093547255691956,0.2222222222222222
Opir-edge-multilang,gliclass_unsafe_categorization,0.06300306667484767,0.06419445310065441
Opir-edge-multilang,harmbench_prompts,0.27272475255784,0.2289156626506024
Opir-edge-multilang,harmbench_responses,0.25710470911977384,0.2661290322580645
Opir-edge-multilang,oai,0.25982233454770465,0.3041018387553041
Opir-edge-multilang,oai_safety,0.6396925480296309,0.6754966887417219
Opir-edge-multilang,polyguard_prompt_safety,0.6070389934253677,0.6205967604433078
Opir-edge-multilang,polyguard_prompt_subcategory,0.11477481068813876,0.16795234180565097
Opir-edge-multilang,polyguard_response_refusal,0.5744563823128978,0.5940647385145689
Opir-edge-multilang,polyguard_response_safety,0.6884118330503173,0.7794375795959109
Opir-edge-multilang,saferlhf,0.2456367409600678,0.29847372568537184
Opir-edge-multilang,saferlhf_response_safety,0.8410870081224563,0.8411596321335039
Opir-edge-multilang,simplesafetytests,0.3570875576036866,0.39263803680981596
Opir-edge-multilang,simplest,0.2446886446886447,0.3157894736842105
Opir-edge-multilang,wildguard_prompt_safety,0.9473934583122221,0.948204826368452
Opir-edge-multilang,wildguard_prompt_subcategory,0.19822001223626046,0.4358490566037736
Opir-edge-multilang,wildguard_response_refusal,0.6080621672052064,0.6357579122709606
Opir-edge-multilang,wildguard_response_safety,0.9193514238778863,0.9566998244587478
Opir-edge-multilang,xstest,0.8655417073924208,0.8688888888888889
Opir-multitask-large,aegis_categories,0.6284084325299883,0.7986017746706103
Opir-multitask-large,aegis_prompt_safety,0.9307723063973063,0.9317718940936863
Opir-multitask-large,aegis_response_safety,0.7646770113640653,0.7736777367773677
Opir-multitask-large,beavertails,0.4059564856123528,0.5291601916186122
Opir-multitask-large,gliclass_jailbreaking_classification,0.792791408693532,0.8604516502605675
Opir-multitask-large,gliclass_safe_unsafe_classification,0.9415547746252269,0.9451553930530164
Opir-multitask-large,gliclass_toxicity_classification,0.9002780069788434,0.8976377952755905
Opir-multitask-large,gliclass_unsafe_categorization,0.8715260106445923,0.9190413735543103
Opir-multitask-large,harmbench_prompts,0.5432063821318989,0.6502463054187192
Opir-multitask-large,harmbench_responses,0.2725919220734889,0.32786885245901637
Opir-multitask-large,jbb_behaviors_behavior,0.6483333333333334,0.7613636363636364
Opir-multitask-large,jbb_behaviors_category,0.6176331514489409,0.6363636363636364
