model,backend,sequence_length,samples_per_second,p50_ms,p95_ms
Opir-multitask-large,gliclass,64,354.22,21.13,21.25
Opir-multitask-large,gliclass,256,329.78,21.64,21.74
Opir-multitask-large,gliclass,512,139.40,22.43,22.82
Opir-multitask-large,gliclass,1024,50.51,25.65,26.09
Opir-multitask-multilang,gliclass,64,646.06,10.85,10.96
Opir-multitask-multilang,gliclass,256,582.32,11.98,12.19
Opir-multitask-multilang,gliclass,512,341.31,12.71,13.44
Opir-multitask-multilang,gliclass,1024,123.67,13.30,14.03
Opir-edge,gliclass,64,1024.53,6.49,6.54
Opir-edge,gliclass,256,836.41,7.38,7.74
Opir-edge,gliclass,512,740.11,7.80,7.88
Opir-edge,gliclass,1024,499.49,9.25,9.52
Opir-edge-multilang,gliclass,64,556.95,12.96,13.06
Opir-edge-multilang,gliclass,256,525.04,13.61,13.68
Opir-edge-multilang,gliclass,512,471.71,14.33,14.43
Opir-edge-multilang,gliclass,1024,306.81,15.60,15.69
GLiGuard-LLMGuardrails-300M,gliner2,64,449.70,11.24,11.99
GLiGuard-LLMGuardrails-300M,gliner2,256,182.15,13.48,14.63
GLiGuard-LLMGuardrails-300M,gliner2,512,90.84,16.03,16.70
GLiGuard-LLMGuardrails-300M,gliner2,1024,42.98,28.99,30.09
Gliner-Guard-Omni,gliner2,64,412.69,11.12,11.19
Gliner-Guard-Omni,gliner2,256,160.91,13.35,13.48
Gliner-Guard-Omni,gliner2,512,78.51,17.13,17.72
Gliner-Guard-Omni,gliner2,1024,34.49,34.04,34.58
Llama-3.1-Nemotron-Safety-Guard-8B-v3,vllm,64,71.70,94.77,95.83
Llama-3.1-Nemotron-Safety-Guard-8B-v3,vllm,256,70.73,95.29,95.77
Llama-3.1-Nemotron-Safety-Guard-8B-v3,vllm,512,64.24,95.86,96.09
Llama-3.1-Nemotron-Safety-Guard-8B-v3,vllm,1024,62.19,97.63,98.31
PolyGuard-Qwen,vllm,64,24.20,309.39,314.54
PolyGuard-Qwen,vllm,256,24.08,305.14,311.62
PolyGuard-Qwen,vllm,512,24.31,306.51,307.09
PolyGuard-Qwen,vllm,1024,23.51,308.59,309.86
Qwen3Guard-Gen-8B,vllm,64,75.59,88.52,89.72
Qwen3Guard-Gen-8B,vllm,256,75.28,89.14,90.89
Qwen3Guard-Gen-8B,vllm,512,73.97,89.66,91.76
Qwen3Guard-Gen-8B,vllm,1024,65.45,91.30,91.80
PolyGuard-Qwen-Smol,vllm,64,96.32,69.84,72.27
PolyGuard-Qwen-Smol,vllm,256,93.22,71.92,73.37
PolyGuard-Qwen-Smol,vllm,512,90.40,70.80,72.00
PolyGuard-Qwen-Smol,vllm,1024,81.48,71.77,73.46
WildGuard,vllm,64,31.68,242.55,245.96
WildGuard,vllm,256,30.74,239.16,239.66
WildGuard,vllm,512,30.49,240.13,241.46
WildGuard,vllm,1024,28.79,243.00,243.86
